Topic,Count,Name,theme1,theme2,Representation,Representative_Docs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,163,185_Mistake_25_26_Wrong,,,"['mistake', '25', '26', 'wrong', 'patch', 'typo', 'failure', 'Bulgaria', 'sloppy', 'established']","['Mistake', 'Mistake', 'Mistake']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,192,186_Cleaning_Clean_Tidy_Room,Childrearing Cost,Domestic Labor,"['cleaning', 'beautiful', 'tidy', 'room', 'organized', 'toilet', 'kitchen', 'stairs', 'always', 'clean']","['I want to clean', 'Wakara is so great at cleaning', 'The place is so clean before cleaning']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,184,187_Music_sound_effect_bgm,,,"['music', 'sound source', 'effect', 'bgm', 'blow', 'everyone', 'volume', 'narration', 'roar', 'flow']","['I like sound effects', 'sound effects', 'sound effects w']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,138,188_Watch_it_quickly_amazing_baby,Utility,Reproduction,"['Look', 'Hurry', 'Amazing', 'Baby', 'Amazing', 'Baby Bus', 'Bari', 'Start', 'Siri', 'Aaaaah']","['Watch it quickly', 'Watch it quickly', 'Watch it really quickly']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,274,189_birth_pregnancy_congratulations_next month,Utility,Reproduction,"['birth', 'pregnancy', 'congratulations', 'next month', 'scheduled', 'pregnant woman', 'Saori', 'thank you', 'Ohira', 'miracle']","['Congratulations on the birth', 'birth at age', 'birth at age']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,212,190_lol_cute_adorable_cute,Utility, Emotional Support,"['laugh', 'cute', 'adorable', 'adorable', 'smile', 'stick', 'funny', 'drop', 'kinda']","['Too cute lol', 'Smiley face is so cute', 'Smiley face is so cute']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,732,191_Give birth_Give birth_Give birth,Utility,Reproduction,"['give birth', 'give birth', 'give birth', 'regret', 'give birth', 'child', 'want', 'do', 'choice']","['I understand the feelings of people who want to give birth, people who don't want to give birth, right? People are so aggressive about having children. People are starting to say louder, ""It's a pity for children to give birth, even though you don't want children, why do we have to use tax money to raise them?"" Just go with the flow, you can see the children's care now, so many people who choose not to have children, I feel compassion for those who have children', 'People who think like that, give birth, I want to give birth I regret it sometimes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,167,192_Polygamy_Connected_Introduction_Weaving,Values,Family Diversity,"['polygamy', 'connect', 'introduce', 'braid', 'four', 'braid', 'aaaaah', 'right arm', 'stick', 'bury']","['All I want is polygamy', 'Give me polygamy', 'Polygamy']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,248,193_year_child_this_year_first_12,Utility,Socialization,"['year', 'this year', 'first birthday', '12', '60th birthday', 'no', 'months', 'age', 'to', '2024']","['It's been years', 'It's been years', 'It's been a year or so']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,242,194_ exactly_ exactly,,,"['street', 'street', 'totally', 'exactly', 'Osaka', 'really', 'passing by', 'Hiroshima', 'really', 'Namba']","['street', 'street', 'street']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,173,195_riding_driving_motorcycle,,,"['ride', 'drive', 'motorcycle', 'single car', 'travel', 'taxi', 'mazda', 'accident', 'ride', 'bicycle']","['Don't ride a nice motorbike, be careful of accidents', 'I drive a car called a Mazda, I drive a Mazda', 'I like motorbikes, I like myself, I need a driver's license for my life and work, but I don't need a motorbike license, but I still got one, I like motorbikes, I enjoy them, I'm an honest person']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,216,196_Hello Kitty_Sanrio_Sales_Shampoo,,,"['Hello Kitty', 'Sanrio', 'Sell', 'Shampoo', 'Buy', 'Bottle', 'Hello Kitty', 'Sponge', 'Chopping Board', 'Black']","['Hello Kitty is cute', 'Hello Kitty shampoo is on sale. I love Hello Kitty and I really want it', 'Hello Kitty']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,198,197_Elderly_Elderly_Care_Retirement,Utility,Intergenerational Support,"['elderly', 'elderly', 'nursing care', 'retirement age', 'old age', 'personal tax', 'comfort', 'long life', 'retirement', 'harm to the elderly']","['I need nursing care, living alone is difficult, so please save up money to get into a nursing home', 'What about the elderly', 'Old people, old people, old people politics']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,212,198_boy_grade_oh_girl,Utility,Socialization,"['boy', 'grade', 'oh', 'girl', 'trending', 'attack', 'garu', 'bangbang', 'tickling', 'twins']","['It's been two days since I started high school, but I've made some friends and I've got the courage to talk to them', 'Oh oh oh oh, you two are really cute', 'Oh oh oh oh oh, you two are really cute']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,441,199_Foster parents_gratitude_adopted child_filial piety,Utility,Intergenerational Support,"['foster parent', 'gratitude', 'adoption', 'filial piety', 'raising', 'parent', 'abuse', 'love', 'dislike', 'ego']","['Thank you to my parents', 'Thank you for all the comments, sorry I can't thank you enough \u3000 Thank your parents,' seems to be an opinion, of course it's natural to be grateful to your parents, it's been six years since I graduated from junior high school and started working, now I'll repay you little by little \u3000 From now on I'll give you love and raise you', 'Thank you for all the comments, sorry I can't thank you enough \u3000 Thank your parents, seems to be an opinion, of course it's natural to be grateful to your parents, it's been six years since I graduated from junior high school and started working, now I'll repay you little by little \u3000 From now on I'll give you love and raise you']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,343,200_Consideration_Various_Discussions,Population Structure,State Intervention,"['Consideration', 'Various', 'Various', 'Discussion', 'Shabadaba', 'Seal', 'Acceleration', 'Zana', 'Right or Wrong', 'Iki']","['Consider it', 'Consider it', 'Consider it']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,284,201_Free_Free_Nursery_Meals,Childrearing Cost,Public Support,"['free', 'free of charge', 'school meal', 'nursery school', 'childcare', 'medical care', 'allowance', 'child', '02', 'years old']","['Now two high school sophomores and two juniors are free', 'free love', 'I want childcare fees for 0-3 year olds to be free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,169,202_ww_fight_pro-wrestling_pro-wrestler,,,"['ww', 'fight', 'pro wrestling', 'pro wrestler', 'no', 'material', 'comedian', 'technique', 'variety show', 'Jamboree Mickey']","['Hey ww', 'ww', 'ww']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,230,203_30_Marriage_33_40,Utility,Reproduction,"['30', 'Marriage', '33', '40', 'Married', '20', 'Single', 'Romance', 'Meeting', '25']","['I want to have children at 30, but it's hard to get married and I've been working a lot, and I really regret it', 'I want to have children at 30, but it's hard to get married and I've been working a lot, and I really regret it', 'I'm thinking about ways to combat the declining birthrate, and I'm going to marry a woman over 30 for 100 million yen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,175,204_No_No_No_No_Little,,,"['No', 'Iyasa', 'No way', 'Ah,' 'Not much', 'Iyaa', 'Seriously', 'Iyaa', 'Ah, like this', 'Moro', 'Iwa']","['No idea', 'No', 'No']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,251,205_Thank you for your hard work every day,Childrearing Cost,Domestic Labor,"['Always', 'Good job', 'Everyday', 'Close', 'Fun', 'Reference', 'Bored', 'Spring', 'Fight', 'Receive']","['Always look cute', 'Always look cute', 'Always cute']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,124,206_30_Both_hands_five_Yada,,,"['half past o', 'both hands', 'five', 'yadar', 'woah', 'difference', 'finger', 'sad', 'match', 'miss']","['I woke up at 5:30, so proud', 'I applied for Instagram about 5 times, but I was not allowed to follow you, so sad', 'I applied for Instagram about 5 times, but I was not allowed to follow you, so sad']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,169,207_Fast_Fast_I see_That's amazing,,,"['fast', 'fast', 'I see', 'awesome', 'stop it', 'trending', 'I get it', 'fast', 'fast', 'crazy']","['fast', 'fast', 'fast']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,127,208_Udon_Frozen_Nostalgic_Nostalgic,Childrearing Cost,Domestic Labor,"['Udon', 'Frozen', 'Nostalgic', 'Nostalgic', 'Keep warm', 'Ren', 'Chin', 'Rice', '24', 'Daiso']","['Delicious looking udon', 'Udon looks delicious', 'Udon looks tasty \u3000 let's make it']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,119,209_China_Chinese_population_Japan,Childrearing Cost,Public Support,"['China', 'Chinese', 'Population', 'Japan', 'Reports', 'Foreign', 'Land', 'Kono', 'Bought', 'America']","['Even China's money is a marriage', 'China's pension', 'China's pension']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,154,210_Free_University_High School_Free,Childrearing Cost,Public Support,"['free', 'university', 'high school', 'free', 'scholarship', 'tuition', 'education', 'classes', 'school', 'compulsory']","['Free college is good', 'Free college is good', 'Free college']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,171,211_Government_Policy_Change_of_Regime,Population Structure,State Intervention,"['Government', 'Policy', 'Regime', 'Change', 'Specifics', 'People', 'Law', 'Politics', 'Israel', 'Pledge']","['It's a policy,' '\u3000 the government', 'I think the government is just saying it.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,195,212_Good job_Thank you_Interesting_Good job,,,"['Good job', 'Nice to meet you', 'Funny', 'Good job', 'Laugh', 'Good morning', 'Please', 'Good evening', 'Wow', 'Funny']","['Good job', 'Good job', 'Good job']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,240,213_conversation_good_talk_story,,,"['conversation', 'good', 'talk', 'story', 'conversation', 'talking', 'language', 'way of speaking', 'chatter', 'Yamato']","['conversation', 'cute conversation', 'cute conversation']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,147,214_Please_hold_your_hands_behind_me,,,"['behind', 'please', 'both hands', 'to be', 'long press', 'shake', 'something', 'back of hand', 'hanging', 'hold']","['person behind', 'behind', 'person behind']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,144,215_National_Equality_Everyone_World,Childrearing Cost,Public Support,"['nationwide', 'equality', 'everyone', 'world', 'everyone', 'please', 'distribute', 'do', 'distribute', 'unify']","['nationwide', 'nationwide', 'nationwide']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,418,216_Impossible_Struggling_Hard_It's difficult,Childrearing Cost,Domestic Labor,"['Impossible', 'try hard', 'difficult', 'please', 'painful', 'difficult', 'hard work', 'painful', 'from now on']","['It's impossible, please try your best', 'It's impossible, please try your best', 'It's impossible, please try your best']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,134,217_Thank you very much,,,"['Thank you', 'Thank you', 'Thank you', 'Thank you', 'I understand', 'Thankful', 'hiro', 'I understand', 'Really', 'Please']","['Thank you', 'Thank you', 'Thank you']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,149,218_Hot_Waking_Up_Summer,Childrearing Cost,Domestic Labor,"['hot', 'get up', 'get up', 'summer', 'hot', 'get up early', 'wear', 'evening', 'get comfortable', 'wear']","['Mom's voice is fine. It's still hot. Everyone, please take care of your health. I look forward to watching it every time', 'Mom's voice is fine. It's still hot. Everyone, please take care of your health. I look forward to watching it every time', 'I wake up in the afternoon. I'm so great for waking up in the morning']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,217,219_game_toy_play_play,Utility,Socialization,"['game', 'toy', 'play', 'play', 'school', 'pachinko', 'play', 'played', 'soccer', 'practical']","['It's about time for health and physical education practicals w', 'After all, schools are teaching practicals properly', 'School education health practicals included']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
